# British to US spellings from the English Speller Database: en-wl/wordlist data/scowl-pre.txt at 1e5b7d3.
#
# Copyright 2000-2026 by Kevin Atkinson
#
# Permission to use, copy, modify, distribute, and sell any part of the English
# Speller Database (ESDB, previously known as SCOWLv2), or word lists
# created from it, is hereby granted without fee, provided that the above
# copyright notice appears in all copies and that both the above copyright
# notice and this notice appear in supporting documentation.  Kevin Atkinson
# makes no representations about the suitability of this database for any
# purpose.  It is provided "as is" without express or implied warranty.
-bicolour	-bicolor
aestheticised	aestheticized
aestheticises	aestheticizes
aestheticising	aestheticizing
aestival	estival
aestivate	estivate
aestivated	estivated
aestivates	estivates
aestivating	estivating
aestivation	estivation
aestivations	estivations
aet	et
aetheric	etheric
aetiologically	etiologically
aetiologies	etiologies
aetiologist	etiologist
aetiology	etiology
aeviternal	eviternal
affere	affeer
africanisation	africanization
africanisations	africanizations
africanise	africanize
africanised	africanized
africanises	africanizes
africanising	africanizing
agatise	agatize
agatises	agatizes
ageing	aging
ageings	agings
agenise	agenize
aggrandise	aggrandize
aggrandised	aggrandized
aggrandisement	aggrandizement
aggrandisements	aggrandizements
aggrandiser	aggrandizer
aggrandisers	aggrandizers
aggrandises	aggrandizes
aggrandising	aggrandizing
agnise	agnize
agnised	agnized
agnises	agnizes
agnising	agnizing
agonise	agonize
agonised	agonized
agonisedly	agonizedly
agonises	agonizes
agonising	agonizing
agonisingly	agonizingly
agre	ager
agrise	agrize
aguise	aguize
albitise	albitize
albitised	albitized
albitises	albitizes
albitising	albitizing
albuminise	albumenize
albuminised	albumenized
albuminises	albumenizes
albuminising	albumenizing
alchemise	alchemize
alchemised	alchemized
alchemises	alchemizes
alchemising	alchemizing
alcidae	alcide
alcoholisation	alcoholization
alcoholise	alcoholize
alcoholised	alcoholized
alcoholises	alcoholizes
alcoholising	alcoholizing
alkalinisation	alkalinization
alkalinisations	alkalinizations
alkalinise	alkalinize
alkalinised	alkalinized
alkalinises	alkalinizes
alkalinising	alkalinizing
alkalisation	alkalization
alkalisations	alkalizations
alkalise	alkalize
alkalised	alkalized
alkalises	alkalizes
alkalising	alkalizing
allegorisation	allegorization
allegorisations	allegorizations
allegorise	allegorize
allegorised	allegorized
allegoriser	allegorizer
allegorisers	allegorizers
allegorises	allegorizes
allegorising	allegorizing
alphabetisation	alphabetization
alphabetisations	alphabetizations
alphabetise	alphabetize
alphabetised	alphabetized
alphabetiser	alphabetizer
alphabetisers	alphabetizers
alphabetises	alphabetizes
alphabetising	alphabetizing
althaea	althea
althaeas	altheas
aluminise	aluminize
aluminised	aluminized
aluminises	aluminizes
aluminising	aluminizing
aluminium	aluminum
aluminiums	aluminums
ambience	ambiance
ambiences	ambiances
amenorrhoea	amenorrhea
amenorrhoeal	amenorrheal
amenorrhoeas	amenorrheas
amenorrhoeic	amenorrheic
americanisation	americanization
americanisations	americanizations
americanise	americanize
americanised	americanized
americanises	americanizes
americanising	americanizing
ammocoete	ammocete
ammocoetes	ammocetes
amoeban	ameban
amoebean	amebean
amoebiases	amebiases
amoebiasis	amebiasis
amoebiform	amebiform
amoebocyte	amebocyte
amoebocytes	amebocytes
amongst	among
amortisable	amortizable
amortisabler	amortizabler
amortisablest	amortizablest
amortisation	amortization
amortisations	amortizations
amortise	amortize
amortised	amortized
amortisement	amortizement
amortisements	amortizements
amortises	amortizes
amortising	amortizing
amouret	amoret
amourism	amorism
amourist	amorist
amouristic	amoristic
amourists	amorists
amphitheatre	amphitheater
amphitheatres	amphitheaters
amygdalae	amygdale
anabaptise	anabaptize
anabaptised	anabaptized
anabaptises	anabaptizes
anabaptising	anabaptizing
anaemia	anemia
anaemias	anemias
anaemic	anemic
anaemically	anemically
anaesthesia	anesthesia
anaesthesias	anesthesias
anaesthesiologies	anesthesiologies
anaesthesiologist	anesthesiologist
anaesthesiologists	anesthesiologists
anaesthesiology	anesthesiology
anaesthesis	anesthesis
anaesthetic	anesthetic
anaesthetically	anesthetically
anaesthetics	anesthetics
anaesthetisation	anesthetization
anaesthetisations	anesthetizations
anaesthetise	anesthetize
anaesthetised	anesthetized
anaesthetises	anesthetizes
anaesthetising	anesthetizing
anaesthetist	anesthetist
anaesthetists	anesthetists
anagrammatise	anagrammatize
anagrammatised	anagrammatized
anagrammatises	anagrammatizes
anagrammatising	anagrammatizing
analogise	analogize
analogised	analogized
analogises	analogizes
analogising	analogizing
analysability	analyzability
analysable	analyzable
analysation	analyzation
analysations	analyzations
analyse	analyze
analysed	analyzed
analyser	analyzer
analysers	analyzers
analysing	analyzing
anarchise	anarchize
anarchised	anarchized
anarchises	anarchizes
anarchising	anarchizing
anathematisation	anathematization
anathematisations	anathematizations
anathematise	anathematize
anathematised	anathematized
anathematises	anathematizes
anathematising	anathematizing
anatomisation	anatomization
anatomise	anatomize
anatomised	anatomized
anatomises	anatomizes
anatomising	anatomizing
ancillae	ancille
anglicisation	anglicization
anglicisations	anglicizations
anglicise	anglicize
anglicised	anglicized
anglicises	anglicizes
anglicising	anglicizing
animalisation	animalization
animalisations	animalizations
animalise	animalize
animalised	animalized
animalises	animalizes
animalising	animalizing
annalise	annalize
annalised	annalized
annalises	annalizes
annalising	annalizing
annualise	annualize
annualised	annualized
annualises	annualizes
annualising	annualizing
anodisation	anodization
anodise	anodize
anodised	anodized
anodises	anodizes
anodising	anodizing
anoesis	anesis
anoestri	anestri
anoestrous	anestrous
anoestrum	anestrum
anoestrus	anestrus
anoestruses	anestruses
anoetic	anetic
anonymise	anonymize
anonymised	anonymized
anonymises	anonymizes
anonymising	anonymizing
anoura	anora
anoxaemia	anoxemia
anoxaemic	anoxemic
anserinae	anserine
antagonisation	antagonization
antagonisations	antagonizations
antagonise	antagonize
antagonised	antagonized
antagonises	antagonizes
antagonising	antagonizing
anthologise	anthologize
anthologised	anthologized
anthologiser	anthologizer
anthologises	anthologizes
anthologising	anthologizing
anthropomorphisation	anthropomorphization
anthropomorphisations	anthropomorphizations
anthropomorphise	anthropomorphize
anthropomorphised	anthropomorphized
anthropomorphises	anthropomorphizes
anthropomorphising	anthropomorphizing
antilabour	antilabor
antisepticise	antisepticize
antisepticised	antisepticized
antisepticises	antisepticizes
antisepticising	antisepticizing
anvilled	anviled
anvilling	anviling
aphaereses	aphereses
aphaeresis	apheresis
aphaeretic	apheretic
aphetise	aphetize
aphetised	aphetized
aphetises	aphetizes
aphetising	aphetizing
aphorise	aphorize
aphorised	aphorized
aphoriser	aphorizer
aphorisers	aphorizers
aphorises	aphorizes
aphorising	aphorizing
apnoea	apnea
apnoeal	apneal
apnoeas	apneas
apnoeic	apneic
apogaeic	apogeic
apologise	apologize
apologised	apologized
apologiser	apologizer
apologisers	apologizers
apologises	apologizes
apologising	apologizing
apophthegmatise	apophthegmatize
apophthegmatised	apophthegmatized
apophthegmatises	apophthegmatizes
apophthegmatising	apophthegmatizing
apostatise	apostatize
apostatised	apostatized
apostatises	apostatizes
apostatising	apostatizing
apostolise	apostolize
apostolised	apostolized
apostolises	apostolizes
apostolising	apostolizing
apostrophise	apostrophize
apostrophised	apostrophized
apostrophises	apostrophizes
apostrophising	apostrophizing
apothegmatise	apothegmatize
apothegmatised	apothegmatized
apothegmatises	apothegmatizes
apothegmatising	apothegmatizing
apotheosise	apotheosize
apotheosised	apotheosized
apotheosises	apotheosizes
apotheosising	apotheosizing
appal	appall
appals	appalls
apparelled	appareled
apparelling	appareling
appetise	appetize
appetised	appetized
appetisement	appetizement
appetisements	appetizements
appetiser	appetizer
appetisers	appetizers
appetises	appetizes
appetising	appetizing
appetisingly	appetizingly
appriser	apprizer
apprisers	apprizers
arabicise	arabicize
arabicises	arabicizes
arabisation	arabization
arabise	arabize
arabised	arabized
arabises	arabizes
arabising	arabizing
araeometric	aerometric
araeometrical	areometrical
araeostyle	areostyle
araeostyles	areostyles
araeosystyle	areosystyle
aramaean	aramean
aramaeans	arameans
arbalestre	arbalester
arborisation	arborization
arborisations	arborizations
arborise	arborize
arborised	arborized
arborises	arborizes
arborising	arborizing
arbour	arbor
arboured	arbored
arboures	arbores
arbours	arbors
archaeal	archeal
archaeoastronomies	archeoastronomies
archaeoastronomy	archeoastronomy
archaeometries	archeometries
archaeometry	archeometry
archaeozoic	archeozoic
archaise	archaize
archaised	archaized
archaiser	archaizer
archaisers	archaizers
archaises	archaizes
archaising	archaizing
arctogaea	arctogea
arctogaean	arctogean
ardour	ardor
ardours	ardors
areic	eric
areographer	aerographer
areographic	aerographic
areographies	aerographies
areography	aerography
areolae	areole
areologic	aerologic
areological	aerological
areologies	aerologies
areologist	aerologist
areology	aerology
areometer	aerometer
areometers	aerometers
arianise	arianize
arianised	arianized
arianises	arianizes
arianising	arianizing
arimathaea	arimathea
arimathaean	arimathean
aristae	ariste
armour	armor
armoured	armored
armourer	armorer
armourers	armorers
armouries	armories
armouring	armoring
armourless	armorless
armours	armors
armoury	armory
aromatisation	aromatization
aromatise	aromatize
aromatised	aromatized
aromatises	aromatizes
aromatising	aromatizing
arse	ass
arsehole	asshole
arseholes	assholes
arses	asses
artefact	artifact
artefacts	artifacts
arterialisation	arterialization
arterialisations	arterializations
arterialise	arterialize
arterialised	arterialized
arterialises	arterializes
arterialising	arterializing
artificialise	artificialize
artificialised	artificialized
artificialises	artificializes
artificialising	artificializing
aryanise	aryanize
aryanised	aryanized
aryanises	aryanizes
aryanising	aryanizing
arytaenoid	arytenoid
arytaenoids	arytenoids
asafoetida	asafetida
asafoetidas	asafetidas
asepticise	asepticize
asepticised	asepticized
asepticises	asepticizes
asepticising	asepticizing
aspheterise	aspheterize
aspheterised	aspheterized
aspheterises	aspheterizes
aspheterising	aspheterizing
assafoetida	assafetida
astronomise	astronomize
astronomised	astronomized
astronomises	astronomizes
astronomising	astronomizing
atheise	atheize
atheised	atheized
atheises	atheizes
atheising	atheizing
athetise	athetize
athetised	athetized
athetises	athetizes
athetising	athetizing
atmolyse	atmolyze
atmolysed	atmolyzed
atmolysing	atmolyzing
atomisation	atomization
atomisations	atomizations
atomise	atomize
atomised	atomized
atomiser	atomizer
atomisers	atomizers
atomises	atomizes
atomising	atomizing
attempre	attemper
atticise	atticize
atticised	atticized
atticises	atticizes
atticising	atticizing
attitudinise	attitudinize
attitudinised	attitudinized
attitudiniser	attitudinizer
attitudinisers	attitudinizers
attitudinises	attitudinizes
attitudinising	attitudinizing
attitudinisings	attitudinizings
australopithecinae	australopithecine
authorisable	authorizable
authorisation	authorization
authorisations	authorizations
authorise	authorize
authorised	authorized
authoriser	authorizer
authorisers	authorizers
authorises	authorizes
authorising	authorizing
autocatalyse	autocatalyze
autocatalysed	autocatalyzed
autocatalyses	autocatalyzes
autocatalysing	autocatalyzing
autoecious	autecious
autoeciously	auteciously
autoecism	autecism
autoecisms	autecisms
autoimmunisation	autoimmunization
autoionisation	autoionization
autolysate	autolyzate
autolysates	autolyzates
autolyse	autolyze
autolysed	autolyzed
autolyses	autolyzes
autolysing	autolyzing
automatisation	automatization
automatisations	automatizations
automatise	automatize
automatised	automatized
automatises	automatizes
automatising	automatizing
autotomise	autotomize
autotomised	autotomized
autotomises	autotomizes
autotomising	autotomizing
autotoxaemia	autotoxemia
autotoxaemias	autotoxemias
avianise	avianize
avianised	avianized
avianises	avianizes
avianising	avianizing
avisandum	avizandum
avisandums	avizandums
avise	avize
avised	avized
avises	avizes
avising	avizing
axe	ax
axiomatisation	axiomatization
axiomatisations	axiomatizations
axiomatise	axiomatize
axiomatised	axiomatized
axiomatises	axiomatizes
axiomatising	axiomatizing
azotaemia	azotemia
azotise	azotize
azotised	azotized
azotises	azotizes
azotising	azotizing
bacillaemia	bacillemia
backpedalled	backpedaled
backpedalling	backpedaling
bacteraemia	bacteremia
bacteraemias	bacteremias
bacterise	bacterize
bacterised	bacterized
bacterises	bacterizes
bacterising	bacterizing
bael	bel
baels	bels
baeria	beria
baeyer	beyer
balkanisation	balkanization
balkanisations	balkanizations
balkanise	balkanize
balkanised	balkanized
balkanises	balkanizes
balkanising	balkanizing
banalisation	banalization
banalise	banalize
banalised	banalized
banalises	banalizes
banalising	banalizing
baptise	baptize
baptised	baptized
baptiser	baptizer
baptisers	baptizers
baptises	baptizes
baptising	baptizing
barbarisation	barbarization
barbarisations	barbarizations
barbarise	barbarize
barbarised	barbarized
barbarises	barbarizes
barbarising	barbarizing
barque	bark
barques	barks
barrelled	barreled
barrelling	barreling
bartisan	bartizan
bartisaned	bartizaned
bartisans	bartizans
barycentre	barycenter
bastardisation	bastardization
bastardisations	bastardizations
bastardise	bastardize
bastardised	bastardized
bastardises	bastardizes
bastardising	bastardizing
bastinadoes	bastinades
battologise	battologize
baulk	balk
baulked	balked
baulking	balking
baulks	balks
beclamour	beclamor
beclamoured	beclamored
beclamouring	beclamoring
beclamours	beclamors
becudgelled	becudgeled
becudgelling	becudgeling
bedevilled	bedeviled
bedevilling	bedeviling
bedrivelled	bedriveled
bedrivelling	bedriveling
beglamour	beglamor
beglamoured	beglamored
beglamouring	beglamoring
beglamours	beglamors
behaviour	behavior
behavioural	behavioral
behaviourally	behaviorally
behaviourism	behaviorism
behaviourisms	behaviorisms
behaviourist	behaviorist
behaviouristic	behavioristic
behaviourists	behaviorists
behaviours	behaviors
behove	behoove
behoved	behooved
behoves	behooves
behoving	behooving
bejewelled	bejeweled
bejewelling	bejeweling
belabour	belabor
belaboured	belabored
belabouring	belaboring
belabours	belabors
bemedalled	bemedaled
bestialise	bestialize
bestialised	bestialized
bestialises	bestializes
bestialising	bestializing
bevelled	beveled
beveller	beveler
bevellers	bevelers
bevelling	beveling
bevellings	bevelings
bicolour	bicolor
bicoloured	bicolored
bicolours	bicolors
bimetallist	bimetalist
bimetallistic	bimetalistic
biocoenology	biocenology
biocoenose	biocenose
biocoenoses	biocenoses
biocoenosis	biocenosis
biocoenotic	biocenotic
bipolarisation	bipolarization
bipolarise	bipolarize
bipolarises	bipolarizes
birminghamise	birminghamize
bise	bize
bises	bizes
bistre	bister
bistred	bistered
bistres	bisters
bituminisation	bituminization
bituminisations	bituminizations
bituminise	bituminize
bituminised	bituminized
bituminises	bituminizes
bituminising	bituminizing
blaise	blaize
blameable	blamable
blastocoele	blastocele
blastulae	blastule
blennorrhoea	blennorrhea
blowsier	blowzier
blowsiest	blowziest
blowsy	blowzy
boehmenism	behmenism
boehmenist	behmenist
boelus	belus
bolshevise	bolshevize
bolshevised	bolshevized
bolshevises	bolshevizes
bolshevising	bolshevizing
boswellise	boswellize
boswellised	boswellized
boswellises	boswellizes
boswellising	boswellizing
botanise	botanize
botanised	botanized
botaniser	botanizer
botanises	botanizes
botanising	botanizing
bourage	borage
bourasque	borasque
bourd	bord
bourg	borg
bowdlerisation	bowdlerization
bowdlerisations	bowdlerizations
bowdlerise	bowdlerize
bowdlerised	bowdlerized
bowdleriser	bowdlerizer
bowdlerisers	bowdlerizers
bowdlerises	bowdlerizes
bowdlerising	bowdlerizing
bowelled	boweled
bowelling	boweling
breathalyse	breathalyze
breathalysed	breathalyzed
breathalyser	breathalyzer
breathalysers	breathalyzers
breathalyses	breathalyzes
breathalysing	breathalyzing
breloque	berloque
breme	berme
bren	bern
briar	brier
briars	briers
bromise	bromize
brutalisation	brutalization
brutalisations	brutalizations
brutalise	brutalize
brutalised	brutalized
brutalises	brutalizes
brutalising	brutalizing
bureaucratisation	bureaucratization
bureaucratisations	bureaucratizations
bureaucratise	bureaucratize
bureaucratised	bureaucratized
bureaucratises	bureaucratizes
bureaucratising	bureaucratizing
burglarise	burglarize
burglarised	burglarized
burglarises	burglarizes
burglarising	burglarizing
burnettise	burnettize
burnettised	burnettized
burnettises	burnettizes
burnettising	burnettizing
bushelled	busheled
busheller	busheler
bushellers	bushelers
bushelling	busheling
bushellings	bushelings
bussings	busings
cacoaethes	cacoethes
cacodaemon	cacodemon
cacodaemonic	cacodemonic
cacodaemons	cacodemons
cadastre	cadaster
cadastres	cadasters
caecally	cecally
caecitis	cecitis
caecity	cecity
caenis	cenis
caenozoic	cenozoic
caerule	cerule
caesar	cesar
caesious	cesious
caesium	cesium
caesiums	cesiums
caespitose	cespitose
caestus	cestus
caestuses	cestuses
caesural	cesural
calendarisation	calendarization
calendarise	calendarize
calendarised	calendarized
calendarises	calendarizes
calendarising	calendarizing
calibre	caliber
calibres	calibers
callisthenic	calisthenic
callisthenics	calisthenics
camise	camize
canalisation	canalization
canalisations	canalizations
canalise	canalize
canalised	canalized
canalises	canalizes
canalising	canalizing
canalled	canaled
canaller	canaler
canallers	canalers
canalling	canaling
cancellable	cancelable
cancellate	cancelate
cancellated	cancelated
cancelled	canceled
canceller	canceler
cancellers	cancelers
cancelling	canceling
cancellous	cancelous
candour	candor
candours	candors
canisterisation	canisterization
canisterise	canisterize
canisterised	canisterized
canisterises	canisterizes
canisterising	canisterizing
cannibalisation	cannibalization
cannibalisations	cannibalizations
cannibalise	cannibalize
cannibalised	cannibalized
cannibalises	cannibalizes
cannibalising	cannibalizing
canonisation	canonization
canonisations	canonizations
canonise	canonize
canonised	canonized
canoniser	canonizer
canonisers	canonizers
canonises	canonizes
canonising	canonizing
cantonisation	cantonization
cantonise	cantonize
cantonised	cantonized
cantonises	cantonizes
cantonising	cantonizing
capitalisable	capitalizable
capitalisation	capitalization
capitalisations	capitalizations
capitalise	capitalize
capitalised	capitalized
capitalises	capitalizes
capitalising	capitalizing
caponise	caponize
caponised	caponized
caponises	caponizes
caponising	caponizing
capsulise	capsulize
capsulised	capsulized
capsulises	capsulizes
capsulising	capsulizing
caramelisation	caramelization
caramelisations	caramelizations
caramelise	caramelize
caramelised	caramelized
caramelises	caramelizes
caramelising	caramelizing
carbolise	carbolize
carbolised	carbolized
carbolises	carbolizes
carbolising	carbolizing
carbonisation	carbonization
carbonisations	carbonizations
carbonise	carbonize
carbonised	carbonized
carboniser	carbonizer
carbonisers	carbonizers
carbonises	carbonizes
carbonising	carbonizing
carburettor	carburetor
carburettors	carburetors
carburisation	carburization
carburisations	carburizations
carburise	carburize
carburised	carburized
carburises	carburizes
carburising	carburizing
cardiae	cardie
carnalise	carnalize
carnalised	carnalized
carnalises	carnalizes
carnalising	carnalizing
carolled	caroled
caroller	caroler
carollers	carolers
carolling	caroling
cartelisation	cartelization
cartelisations	cartelizations
cartelise	cartelize
cartelised	cartelized
cartelises	cartelizes
cartelising	cartelizing
casualisation	casualization
casualisations	casualizations
casualise	casualize
casualised	casualized
casualises	casualizes
casualising	casualizing
catabolise	catabolize
catalogue	catalog
catalogued	cataloged
cataloguer	cataloger
cataloguers	catalogers
catalogues	catalogs
cataloguing	cataloging
cataloguise	cataloguize
cataloguised	cataloguized
cataloguises	cataloguizes
cataloguising	cataloguizing
catalyse	catalyze
catalysed	catalyzed
catalyser	catalyzer
catalysers	catalyzers
catalysing	catalyzing
catechisation	catechization
catechisations	catechizations
catechise	catechize
catechised	catechized
catechiser	catechizer
catechisers	catechizers
catechises	catechizes
catechising	catechizing
categorisation	categorization
categorisations	categorizations
categorise	categorize
categorised	categorized
categoriser	categorizer
categorisers	categorizers
categorises	categorizes
categorising	categorizing
catharise	catharize
catharised	catharized
catharises	catharizes
catharising	catharizing
catheterisation	catheterization
catheterisations	catheterizations
catheterise	catheterize
catheterised	catheterized
catheterises	catheterizes
catheterising	catheterizing
catholicisation	catholicization
catholicise	catholicize
catholicised	catholicized
catholicises	catholicizes
catholicising	catholicizing
cauterisation	cauterization
cauterisations	cauterizations
cauterise	cauterize
cauterised	cauterized
cauterises	cauterizes
cauterising	cauterizing
cavillation	cavilation
cavilled	caviled
caviller	caviler
cavillers	cavilers
cavilling	caviling
cavillings	cavilings
centilitre	centiliter
centilitres	centiliters
centimetre	centimeter
centimetres	centimeters
centralisation	centralization
centralisations	centralizations
centralise	centralize
centralised	centralized
centraliser	centralizer
centralisers	centralizers
centralises	centralizes
centralising	centralizing
centre	center
centreboard	centerboard
centreboards	centerboards
centred	centered
centrefold	centerfold
centrefolds	centerfolds
centreless	centerless
centreline	centerline
centrelines	centerlines
centrepiece	centerpiece
centrepieces	centerpieces
centres	centers
centreville	centerville
centrifugalisation	centrifugalization
centrifugalisations	centrifugalizations
centrifugalise	centrifugalize
centrifugalised	centrifugalized
centrifugalises	centrifugalizes
centrifugalising	centrifugalizing
centring	centering
centrings	centerings
cephalisation	cephalization
cephalisations	cephalizations
chaetopod	chetopod
chalazae	chalaze
chaldaeans	chaldeans
channelisation	channelization
channelisations	channelizations
channelise	channelize
channelised	channelized
channelises	channelizes
channelising	channelizing
channelled	channeled
channeller	channeler
channellers	channelers
channelling	channeling
channellings	channelings
chaperone	chaperon
chaperones	chaperons
chaptalisation	chaptalization
chaptalisations	chaptalizations
chaptalise	chaptalize
chaptalised	chaptalized
chaptalises	chaptalizes
chaptalising	chaptalizing
characterisable	characterizable
characterisation	characterization
characterisations	characterizations
characterise	characterize
characterised	characterized
characteriser	characterizer
characterisers	characterizers
characterises	characterizes
characterising	characterizing
chelicerae	chelicere
cheque	check
chequebook	checkbook
chequebooks	checkbooks
chequer	checker
chequerboard	checkerboard
chequerboards	checkerboards
chequered	checkered
chequering	checkering
chequers	checkers
cheques	checks
cherely	cheerly
chilli	chili
chimaerid	chimerid
chimaerism	chimerism
chimaerisms	chimerisms
chiselled	chiseled
chiseller	chiseler
chisellers	chiselers
chiselling	chiseling
chloridise	chloridize
chloridised	chloridized
chloridises	chloridizes
chloridising	chloridizing
chlorinise	chlorinize
chlorinised	chlorinized
chlorinises	chlorinizes
chlorinising	chlorinizing
chloritisation	chloritization
chloritisations	chloritizations
chocolatey	chocolaty
choenix	chenix
choenixes	chenixes
cholaemia	cholemia
chorisation	chorization
christianisation	christianization
christianisations	christianizations
christianise	christianize
christianised	christianized
christianiser	christianizer
christianisers	christianizers
christianises	christianizes
christianising	christianizing
chromise	chromize
chromised	chromized
chromises	chromizes
chromising	chromizing
chronologise	chronologize
chronologised	chronologized
chronologises	chronologizes
chronologising	chronologizing
cicatrisation	cicatrization
cicatrisations	cicatrizations
cicatrise	cicatrize
cicatrised	cicatrized
cicatrises	cicatrizes
cicatrising	cicatrizing
cinchonisation	cinchonization
cinchonisations	cinchonizations
cinchonise	cinchonize
cinchonised	cinchonized
cinchonises	cinchonizes
cinchonising	cinchonizing
cinematise	cinematize
circaean	circean
circularisation	circularization
circularisations	circularizations
circularise	circularize
circularised	circularized
circulariser	circularizer
circularisers	circularizers
circularises	circularizes
circularising	circularizing
circumcentre	circumcenter
circumcentres	circumcenters
cithren	cithern
cithrens	citherns
citizenise	citizenize
citizenised	citizenized
citizenises	citizenizes
citizenising	citizenizing
civilianisation	civilianization
civilianisations	civilianizations
civilianise	civilianize
civilianised	civilianized
civilianises	civilianizes
civilianising	civilianizing
civilisable	civilizable
civilisation	civilization
civilisational	civilizational
civilisations	civilizations
civilise	civilize
civilised	civilized
civiliser	civilizer
civilisers	civilizers
civilises	civilizes
civilising	civilizing
clamour	clamor
clamoured	clamored
clamourer	clamorer
clamourers	clamorers
clamouring	clamoring
clamours	clamors
clangour	clangor
clangoured	clangored
clangouring	clangoring
clangours	clangors
clarinettist	clarinetist
clarinettists	clarinetists
claroes	clares
classicise	classicize
classicised	classicized
classicises	classicizes
classicising	classicizing
climatise	climatize
climatised	climatized
climatises	climatizes
climatising	climatizing
coalise	coalize
coalised	coalized
coalises	coalizes
coalising	coalizing
cocainisation	cocainization
cocainisations	cocainizations
cocainise	cocainize
cocainised	cocainized
cocainises	cocainizes
cocainising	cocainizing
coelestine	celestine
coeliac	celiac
coeliacs	celiacs
coeliotomy	celiotomy
coelom	celom
coeloma	celoma
coelomata	celomata
coeloms	celoms
coenacle	cenacle
coenamour	coenamor
coenamoured	coenamored
coenamouring	coenamoring
coenamours	coenamors
coenesthesia	cenesthesia
coenesthesias	cenesthesias
coenesthesis	cenesthesis
coenobite	cenobite
coenobites	cenobites
coenobitic	cenobitic
coenobitical	cenobitical
coenobitism	cenobitism
coenobium	cenobium
coenospecies	cenospecies
cognisable	cognizable
cognisably	cognizably
cognisance	cognizance
cognisances	cognizances
cognisant	cognizant
cognise	cognize
cognised	cognized
cogniser	cognizer
cognisers	cognizers
cognises	cognizes
cognising	cognizing
collateralise	collateralize
collectable	collectible
collectables	collectibles
collectivisation	collectivization
collectivisations	collectivizations
collectivise	collectivize
collectivised	collectivized
collectivises	collectivizes
collectivising	collectivizing
colloquise	colloquize
colloquised	colloquized
colloquises	colloquizes
colloquising	colloquizing
colonialise	colonialize
colonialised	colonialized
colonialises	colonializes
colonialising	colonializing
colonisable	colonizable
colonisation	colonization
colonisationist	colonizationist
colonisationists	colonizationists
colonisations	colonizations
colonise	colonize
colonised	colonized
